Name,Cost,Author,Link,desc,posts,Introversion/Extraversion,Intuitive/Observant,Thinking/Feeling,Judging/Perceiving
//_path/untitled13,22,Mark Dorf,https://www.seditionart.com/mark-dorf/_path-untitled13,"An examination of contemporary life in Western culture shows how completely our world has been influenced by digital technology and the World Wide Web. The Internet and digital technology have moved from the periphery to the forefront of human interaction, and continue to become ever more entrenched in our daily lives. Mark Dorf is interested in the ways in which we have become dependent upon this technology; to what extent we rely upon the digital realm to navigate our lives, and how this reliance affects our perception of the world around us socially, emotionally, and physically. It is no longer about logging on or off, but rather living within and in harmony with the realms and constructs of the digital world for our newest generation of inhabitants.For Sedition, Dorf presents two limited editions from his //_PATH series composed of photography and moving images. In //_PATH the artist explores these ideas through digital photography, collage, 3D rendering, and primitive 3D scanning technology. Dorf uses strict geometric and synthetic forms to contrast against the natural landscape against which they are viewed; a comparison of visual language. In Dorf’s view, the natural landscape can be seen as the most ancient of symbolic languages - the original set of symbols that birthed all of modern language; nature is the master text. Using this juxtaposition of landscape and contemporary digital language, Dorf explores the ongoing capture and digitisation of our environment through the use of pure colour and the native tools of contemporary digital imaging that are used to create meaning and manipulation in mass media.","An examination of contemporary life in Western culture shows how completely our world has been influenced by digital technology and the World Wide Web. The Internet and digital technology have moved from the periphery to the forefront of human interaction, and continue to become ever more entrenched in our daily lives. Mark Dorf is interested in the ways in which we have become dependent upon this technology; to what extent we rely upon the digital realm to navigate our lives, and how this reliance affects our perception of the world around us socially, emotionally, and physically. It is no longer about logging on or off, but rather living within and in harmony with the realms and constructs of the digital world for our newest generation of inhabitants.For Sedition, Dorf presents two limited editions from his //_PATH series composed of photography and moving images. In //_PATH the artist explores these ideas through digital photography, collage, 3D rendering, and primitive 3D scanning technology. Dorf uses strict geometric and synthetic forms to contrast against the natural landscape against which they are viewed; a comparison of visual language. In Dorf’s view, the natural landscape can be seen as the most ancient of symbolic languages - the original set of symbols that birthed all of modern language; nature is the master text. Using this juxtaposition of landscape and contemporary digital language, Dorf explores the ongoing capture and digitisation of our environment through the use of pure colour and the native tools of contemporary digital imaging that are used to create meaning and manipulation in mass media.",Introverted,Intuitive,Thinking,Perceiving
//_path/untitled9,24,Mark Dorf,https://www.seditionart.com/mark-dorf/_path-untitled9,"An examination of contemporary life in Western culture shows how completely our world has been influenced by digital technology and the World Wide Web. The Internet and digital technology have moved from the periphery to the forefront of human interaction, and continue to become ever more entrenched in our daily lives. Mark Dorf is interested in the ways in which we have become dependent upon this technology; to what extent we rely upon the digital realm to navigate our lives, and how this reliance affects our perception of the world around us socially, emotionally, and physically. It is no longer about logging on or off, but rather living within and in harmony with the realms and constructs of the digital world for our newest generation of inhabitants.For Sedition, Dorf presents two limited editions from his //_PATH series composed of photography and moving images. In //_PATH the artist explores these ideas through digital photography, collage, 3D rendering, and primitive 3D scanning technology. Dorf uses strict geometric and synthetic forms to contrast against the natural landscape against which they are viewed; a comparison of visual language. In Dorf’s view, the natural landscape can be seen as the most ancient of symbolic languages - the original set of symbols that birthed all of modern language; nature is the master text. Using this juxtaposition of landscape and contemporary digital language, Dorf explores the ongoing capture and digitisation of our environment through the use of pure colour and the native tools of contemporary digital imaging that are used to create meaning and manipulation in mass media.","An examination of contemporary life in Western culture shows how completely our world has been influenced by digital technology and the World Wide Web. The Internet and digital technology have moved from the periphery to the forefront of human interaction, and continue to become ever more entrenched in our daily lives. Mark Dorf is interested in the ways in which we have become dependent upon this technology; to what extent we rely upon the digital realm to navigate our lives, and how this reliance affects our perception of the world around us socially, emotionally, and physically. It is no longer about logging on or off, but rather living within and in harmony with the realms and constructs of the digital world for our newest generation of inhabitants.For Sedition, Dorf presents two limited editions from his //_PATH series composed of photography and moving images. In //_PATH the artist explores these ideas through digital photography, collage, 3D rendering, and primitive 3D scanning technology. Dorf uses strict geometric and synthetic forms to contrast against the natural landscape against which they are viewed; a comparison of visual language. In Dorf’s view, the natural landscape can be seen as the most ancient of symbolic languages - the original set of symbols that birthed all of modern language; nature is the master text. Using this juxtaposition of landscape and contemporary digital language, Dorf explores the ongoing capture and digitisation of our environment through the use of pure colour and the native tools of contemporary digital imaging that are used to create meaning and manipulation in mass media.",Introverted,Intuitive,Thinking,Perceiving
#NewAesthetic TV (Extended Play Remix),30,Mark Amerika,https://www.seditionart.com/mark-amerika/newaesthetic-tv-extended-play-remix,"Mark Amerika’s short video piece #NewAesthetic TV (Extended Play Remix) explores what is commonly known as glitch aesthetics and is the product of reworking source material from his transmedia piece Museum of Glitch Aesthetics (MOGA), 2012,  which was part of the Abandon Normal Devices Festival, Manchester, and Digital Aesthetic Exhibition, Harris Museum, Lancashire. In 2013, short video remixes sourced from MOGA were later screened in 14 second videos on the largest screens in a US airport located at Denver International Airport in Colorado.#NewAesthetic TV (Extended Play Remix) was produced by manually manipulating video streams originally filmed in real time, transforming their appearance into what Amerika terms “glitch aesthetics” - a form of visually corrupting data transmissions of large video files. The artist drew inspiration from art movements like Pointillism, Cubism and the video art of Nam June Paik. Amerika’s “extended play remix” version is available on Sedition.Mark Amerika lives and works in Boulder, Colorado and Kailua, Hawaii.","Mark Amerika’s short video piece #NewAesthetic TV (Extended Play Remix) explores what is commonly known as glitch aesthetics and is the product of reworking source material from his transmedia piece Museum of Glitch Aesthetics (MOGA), 2012,  which was part of the Abandon Normal Devices Festival, Manchester, and Digital Aesthetic Exhibition, Harris Museum, Lancashire. In 2013, short video remixes sourced from MOGA were later screened in 14 second videos on the largest screens in a US airport located at Denver International Airport in Colorado.#NewAesthetic TV (Extended Play Remix) was produced by manually manipulating video streams originally filmed in real time, transforming their appearance into what Amerika terms “glitch aesthetics” - a form of visually corrupting data transmissions of large video files. The artist drew inspiration from art movements like Pointillism, Cubism and the video art of Nam June Paik. Amerika’s “extended play remix” version is available on Sedition.Mark Amerika lives and works in Boulder, Colorado and Kailua, Hawaii.",Introverted,Intuitive,Feeling,Perceiving
"1,000 Pounds",30,Sui Jianguo,https://www.seditionart.com/sui_jianguo/1_000_pounds,"It certainly is not easy for a digital two-dimensional piece of art to transmit three-dimensionality and the material reality of classic sculpture. And yet, Sui Jianguo achieves exactly this with his work 1,000 Pounds: we watch the rapid manipulation of a chunk of clay. But we do not ever see the artist; the fast moving film only shows the changing imprints of his hands into the material: the mutating matter opens and closes, stretches and compresses, it gapes with holes and smoothes over in finger-imprinted ripples.1,000 Pounds reminds aesthetically of Sui Jianguo's early sculptural work of the 1990s, characteristically of a more organic and abstract character and material. 1,000 Pounds also pays homage to the most classic practice of modern sculpture itself: the dedicated modelling and remodelling by the artist's hand. Auguste Rodin made his name when he decided to move away from the Baroque and neo-Baroque smooth surfaces of 19th century sculptural tradition. He opted for textured surfaces and the extreme interplay of light and shadow - made possible by strong modelling techniques that did not obscure the expressive impact of the artist. In its entirety, 1,000 Pounds seems to convey exactly this: the physical impact of the hand onto clay, the concreteness of the flesh, the brutality contained within the act of forcing the bare earth into a shape decided by the artist.Upon completion, 1,000 Pounds was cast by Sui Jianguo into bronze. It exists as a artwork in its own right and physical form.","It certainly is not easy for a digital two-dimensional piece of art to transmit three-dimensionality and the material reality of classic sculpture. And yet, Sui Jianguo achieves exactly this with his work 1,000 Pounds: we watch the rapid manipulation of a chunk of clay. But we do not ever see the artist; the fast moving film only shows the changing imprints of his hands into the material: the mutating matter opens and closes, stretches and compresses, it gapes with holes and smoothes over in finger-imprinted ripples.1,000 Pounds reminds aesthetically of Sui Jianguo's early sculptural work of the 1990s, characteristically of a more organic and abstract character and material. 1,000 Pounds also pays homage to the most classic practice of modern sculpture itself: the dedicated modelling and remodelling by the artist's hand. Auguste Rodin made his name when he decided to move away from the Baroque and neo-Baroque smooth surfaces of 19th century sculptural tradition. He opted for textured surfaces and the extreme interplay of light and shadow - made possible by strong modelling techniques that did not obscure the expressive impact of the artist. In its entirety, 1,000 Pounds seems to convey exactly this: the physical impact of the hand onto clay, the concreteness of the flesh, the brutality contained within the act of forcing the bare earth into a shape decided by the artist.Upon completion, 1,000 Pounds was cast by Sui Jianguo into bronze. It exists as a artwork in its own right and physical form.",Introverted,Intuitive,Thinking,Perceiving
100% Gray Coverage,35,Casey Reas,https://www.seditionart.com/casey_reas/100_gray_coverage,"Casey Reas’ 10 minutes digital video-piece 100% Gray Coverage, exclusively available on Sedition, was derived from Reas’ work Signal to Noise. The latter is a so-called collage engine, a programme that uses terrestrial television signals as raw material and transcribes them into visual footage. Reas: “Like early twentieth-century collages built from the media of that time, and (comparable to) mid 20th century video collage, Signal to Noise fractures and distorts contemporary information into new data structure”.For 100% Gray Coverage, Reas developed a newer more evolved collage engine to create imagery: the video is completely abstract and moves at a rapid pace. However, rudiments of what remind the viewer of television images appear occasionally, and the speed with which animation and colour sequences change recalls quick channel-surfing. 100% Gray Coverage visually combines a familiar aesthetic of the modern age - television and the disruption or flicker of distorted signals or channels changed at high speeds - and contemporary computer generated animation.Casey Reas created 100% Gray Coverage in conjunction with Infinite Command Team, both 10 minutes in length and interlinked, utilising the same collage engine.","Casey Reas’ 10 minutes digital video-piece 100% Gray Coverage, exclusively available on Sedition, was derived from Reas’ work Signal to Noise. The latter is a so-called collage engine, a programme that uses terrestrial television signals as raw material and transcribes them into visual footage. Reas: “Like early twentieth-century collages built from the media of that time, and (comparable to) mid 20th century video collage, Signal to Noise fractures and distorts contemporary information into new data structure”.For 100% Gray Coverage, Reas developed a newer more evolved collage engine to create imagery: the video is completely abstract and moves at a rapid pace. However, rudiments of what remind the viewer of television images appear occasionally, and the speed with which animation and colour sequences change recalls quick channel-surfing. 100% Gray Coverage visually combines a familiar aesthetic of the modern age - television and the disruption or flicker of distorted signals or channels changed at high speeds - and contemporary computer generated animation.Casey Reas created 100% Gray Coverage in conjunction with Infinite Command Team, both 10 minutes in length and interlinked, utilising the same collage engine.",Introverted,Intuitive,Thinking,Perceiving
245 Drops,15,Sui Jianguo,https://www.seditionart.com/sui_jianguo/245_drops,"245 Drops  combines the artist's exploration of time and space in an exceptional way: even though a two dimensional video piece, it creates a sense of sculpture within a digital frame. We see a plain space - a piece of paper - take on a sculptural density while we watch the artist trace a ruler over and over again in pencil. The effect is a mosaic of angular fragments that give the appearance of airy depth and solid wall simultaneously.Sui Jianguo is one of China's pre-eminent contemporary artists. Professor of Sculpture at the Central Academy of Fine Arts, Beijing, he is part of the first generation of artists to emerge at the end of the Cultural Revolution in 1976, characterised by the endeavor to rethink Chinese national heritage.His most famous works - the Mao Jackets, his large plastic toy dinosaur or the ""Made in China"" lettering - all tell a tale of a nation that is rapidly forming a new identity in a capitalist global market while still dealing with the political reality and aesthetic of its recent past.","245 Drops  combines the artist's exploration of time and space in an exceptional way: even though a two dimensional video piece, it creates a sense of sculpture within a digital frame. We see a plain space - a piece of paper - take on a sculptural density while we watch the artist trace a ruler over and over again in pencil. The effect is a mosaic of angular fragments that give the appearance of airy depth and solid wall simultaneously.Sui Jianguo is one of China's pre-eminent contemporary artists. Professor of Sculpture at the Central Academy of Fine Arts, Beijing, he is part of the first generation of artists to emerge at the end of the Cultural Revolution in 1976, characterised by the endeavor to rethink Chinese national heritage.His most famous works - the Mao Jackets, his large plastic toy dinosaur or the ""Made in China"" lettering - all tell a tale of a nation that is rapidly forming a new identity in a capitalist global market while still dealing with the political reality and aesthetic of its recent past.",Introverted,Intuitive,Feeling,Perceiving
"32 Stills, 13’23”, 360 degrees",48,Mattia Casalegno,https://www.seditionart.com/mattia-casalegno/32-stills-13-23-360-degrees,"32 Stills, 13’23”, 360 degrees is one part of an audiovisual triptych by Mattia Casalegno titled Pomegranates, Grapes and Seashells. Exploring the ‘still life’ using photogrammetry and computer-generated animation, the artist creates 3D animated grapes that rotates slowly in space. The edges are distorted due to the limitations of the imaging technology, photogrammetry. Traditionally used for topological surveys, the technique assembles bi-dimensional pictures together to create tri-dimensional objects. In Pomegranates, Grapes and Seashells, Casalegno applies the technology to a series of fruits and natural objects, providing a survey of its shape and form as interpreted by 3D technology. The forms are animated and float in space, and are accompanied by an ambient electronic soundtrack by Martux_m Crew. The three works in the series have been presented as a three-channel installation at the Young At Art Museum in Florida in 2016. ","32 Stills, 13’23”, 360 degrees is one part of an audiovisual triptych by Mattia Casalegno titled Pomegranates, Grapes and Seashells. Exploring the ‘still life’ using photogrammetry and computer-generated animation, the artist creates 3D animated grapes that rotates slowly in space. The edges are distorted due to the limitations of the imaging technology, photogrammetry. Traditionally used for topological surveys, the technique assembles bi-dimensional pictures together to create tri-dimensional objects. In Pomegranates, Grapes and Seashells, Casalegno applies the technology to a series of fruits and natural objects, providing a survey of its shape and form as interpreted by 3D technology. The forms are animated and float in space, and are accompanied by an ambient electronic soundtrack by Martux_m Crew. The three works in the series have been presented as a three-channel installation at the Young At Art Museum in Florida in 2016. ",Introverted,Intuitive,Feeling,Perceiving
33 Pol,8,Sassan Behnam-Bakhtiar,https://www.seditionart.com/sassan-behnam-bakhtiar/33-pol,"33 Pol is part of Sassan Behnam Bakhtiar’s The Real Me series - a personal, powerful and acclaimed body of work that shines a contemporary light on the historical heritage of the artist’s native country, Iran.In 33 Pol, contrasting geometrical collage of traditional tapestry against the magnificent backdrop of Siosepol unveils the modernity and relevance of Iran’s history in the modern world. For Behnam Bakhtiar, every work from The Real Me series seeks to strike a balance between the art historical legacy of  Persia and the political context that colours this region today.","33 Pol is part of Sassan Behnam Bakhtiar’s The Real Me series - a personal, powerful and acclaimed body of work that shines a contemporary light on the historical heritage of the artist’s native country, Iran.In 33 Pol, contrasting geometrical collage of traditional tapestry against the magnificent backdrop of Siosepol unveils the modernity and relevance of Iran’s history in the modern world. For Behnam Bakhtiar, every work from The Real Me series seeks to strike a balance between the art historical legacy of  Persia and the political context that colours this region today.",Introverted,Intuitive,Feeling,Judging
"34 Stills, 14’26”, 360 Degrees",48,Mattia Casalegno,https://www.seditionart.com/mattia-casalegno/34-stills-14-26-360-degrees,"34 stills, 14’26”, 360 degrees is one part of an audiovisual triptych by Mattia Casalegno titled Pomegranates, Grapes and Seashells. Exploring the ‘still life’ using photogrammetry and computer-generated animation, the artist creates a 3D animated seashell that rotates slowly in space. The edges are distorted due to the limitations of the imaging technology, photogrammetry. Traditionally used for topological surveys, the technique assembles bi-dimensional pictures together to create tri-dimensional objects. In Pomegranates, Grapes and Seashells, Casalegno applies the technology to a series of fruits and natural objects, providing a survey of its shape and form as interpreted by 3D technology. The forms are animated and float in space, and are accompanied by an ambient electronic soundtrack by Martux_m Crew. The three works in the series have been presented as a three-channel installation at the Young At Art Museum in Florida in 2016. ","34 stills, 14’26”, 360 degrees is one part of an audiovisual triptych by Mattia Casalegno titled Pomegranates, Grapes and Seashells. Exploring the ‘still life’ using photogrammetry and computer-generated animation, the artist creates a 3D animated seashell that rotates slowly in space. The edges are distorted due to the limitations of the imaging technology, photogrammetry. Traditionally used for topological surveys, the technique assembles bi-dimensional pictures together to create tri-dimensional objects. In Pomegranates, Grapes and Seashells, Casalegno applies the technology to a series of fruits and natural objects, providing a survey of its shape and form as interpreted by 3D technology. The forms are animated and float in space, and are accompanied by an ambient electronic soundtrack by Martux_m Crew. The three works in the series have been presented as a three-channel installation at the Young At Art Museum in Florida in 2016. ",Introverted,Intuitive,Feeling,Perceiving
"42 Stills, 15’32”, 360 Degrees",48,Mattia Casalegno,https://www.seditionart.com/mattia-casalegno/42-stills-15-32-360-degrees,"42 stills, 15’32”, 360 degrees is one part of an audiovisual triptych by Mattia Casalegno titled Pomegranates, Grapes and Seashells. Exploring the ‘still life’ using photogrammetry and computer-generated animation, the artist creates a 3D animated pomegranate that rotates slowly in space. The edges are distorted due to the limitations of the imaging technology, photogrammetry. Traditionally used for topological surveys, the technique assembles bi-dimensional pictures together to create tri-dimensional objects. In Pomegranates, Grapes and Seashells, Casalegno applies the technology to a series of fruits and natural objects, providing a survey of its shape and form as interpreted by 3D technology. The forms are animated and float in space, and are accompanied by an ambient electronic soundtrack by Martux_m Crew. The three works in the series have been presented as a three-channel installation at the Young At Art Museum in Florida in 2016. ","42 stills, 15’32”, 360 degrees is one part of an audiovisual triptych by Mattia Casalegno titled Pomegranates, Grapes and Seashells. Exploring the ‘still life’ using photogrammetry and computer-generated animation, the artist creates a 3D animated pomegranate that rotates slowly in space. The edges are distorted due to the limitations of the imaging technology, photogrammetry. Traditionally used for topological surveys, the technique assembles bi-dimensional pictures together to create tri-dimensional objects. In Pomegranates, Grapes and Seashells, Casalegno applies the technology to a series of fruits and natural objects, providing a survey of its shape and form as interpreted by 3D technology. The forms are animated and float in space, and are accompanied by an ambient electronic soundtrack by Martux_m Crew. The three works in the series have been presented as a three-channel installation at the Young At Art Museum in Florida in 2016. ",Introverted,Intuitive,Feeling,Perceiving
